jahr,einwohner_Insgesamt,einwohner_maennlich,einwohner_weiblich,einwohner_deutsche,einwohner_auslaender_innen
1900,499932,243762,256170,.       ,.       
1925,680704,318761,361943,660016,20688
1933,735388,339611,395777,720198,15190
1950,831937,383984,447953,798442,33495
1961,1085014,501290,583724,1010659,74355
1965,1214603,575947,638656,1107091,107512
1971,1338432,652117,686315,1142586,195846
1972,1338924,654660,684264,1138183,200741
1973,1336576,653714,682862,1106800,229776
1974,1323434,642178,681256,1097831,225603
1975,1314865,635308,679557,1093443,221422
1976,1314572,635150,679422,1092441,222131
1977,1313939,634606,679333,1089628,224311
1978,1296970,623968,673002,1086729,210241
1979,1299693,627511,672182,1084203,215490
1980,1298941,628621,670320,1078735,220206
1981,1291828,624203,667625,1076017,215811
1982,1287080,620705,666375,1075014,212066
1983,1283457,618443,665014,1074916,208541
1984,1277369,614114,663255,1074966,202403
1985,1281613,615450,666163,1077660,203953
1986,1291396,620316,671080,1080606,210790
1987,1253282,599156,654126,1065111,188171
1988,1263187,604817,658370,1065239,197948
1989,1268366,607696,660670,1065890,202476
1990,1277576,615410,662166,1063991,213585
1991,1303593,632930,670663,1062815,240778
1992,1320634,643727,676907,1056027,264607
1993,1326306,645959,680347,1050829,275477
1994,1323624,644562,679062,1043082,280542
1995,1324208,644844,679364,1038186,286022
1996,1321557,643039,678518,1035470,286087
1997,1307609,634153,673456,1034553,273056
1998,1298537,629845,668692,1036987,261550
1999,1315254,639551,675703,1045601,269653
2000,1247934,603034,644900,965786,282148
2001,1260597,610043,650554,973490,287107
2002,1264309,612031,652278,975046,289263
2003,1267813,613900,653913,975584,292229
2004,1273186,616441,656745,979800,293386
2005,1288307,623920,664387,988178,300129
2006,1326206,642859,683347,1021761,304445
2007,1351445,656340,695105,1040124,311321
2008,1367314,664517,702797,1051390,315924
2009,1364194,662182,702012,1055625,308569
2010,1382273,672081,710192,1064819,317454
2011,1410741,689077,721664,1076006,334735
2012,1439474,705263,734211,1085658,353816
2013,1464962,719105,745857,1092161,372801
2014,1490681,733430,757251,1097309,393372
2015,1521678,751669,770009,1102287,419391
2016,1542860,763440,779420,1105696,437164
2017,1526056,752594,773462,1104224,421832
