"Platz","Acess Point","latitude","longitude"
"Odeonsplatz","AP_1  ","48.142361","11.577892"
"Odeonsplatz","AP_2  ","48.142429","11.577247"
"Odeonsplatz","AP_4  ","48.142609","11.578021"
"Sendlinger Tor","AP_1  ","48.133764","11.566767"
"Sendlinger Tor","AP_2  ","48.133906","11.567297"
"Sendlinger Tor","AP_5  ","48.133853","11.566048"
"Karlsplatz","AP_1  ","48.139498","11.566174"
"Marienplatz","AP_1  ","48.136981  ","11.575515"
"Marienplatz","AP_2  ","48.137302","11.575905"
"Marienplatz","AP_3  ","48.137473","11.575129"
"Marienplatz","AP_4  ","48.136927","11.576340"
"Orleansplatz                          ","AP","48.12837738390998","11.60398064870475"
"Lehel                                     ","AP","48.13964640411629","11.58845775060638"
"Harras                                   ","AP","48.11695909150965","11.54007974256795"
"Münchner Freiheit                 ","AP","48.16253109116384","11.58715721898336"
"Marienhof                              ","AP","48.13832865176001","11.57621530259179"
"Wettersteinplatz                     ","AP","48.10907324583749","11.57541326350405"
"Giesinger Bahnhofplatz        ","AP","48.11074090859957","11.59559664313294"
"Rotkreuzplatz                        ","AP","48.15275185441244","11.5340125031411"
"Neuperlach Zentrum","AP","48.10108974484707","11.64635228731959"
"Deutsches Museum","AP","48.12987369241964","11.58487478571362"
