"stadtbezirksnummer","stadtbezirk","haushalte_zusammen","haushalte_mit_1_person","haushalte_mit_2_personen","haushalte_mit_3_personen","haushalte_mit_4_personen","haushalte_mit_5_personen_und_mehr"
1,"Altstadt  - Lehel",12483,8128,2544,980,617,214
2,"Ludwigsvorstadt - Isarvorstadt ",30478,19960,6141,2407,1388,582
3,"Maxvorstadt ",32322,22249,6182,2145,1261,485
4,"Schwabing West",39087,24308,8575,3355,2037,812
5,"Au - Haidhausen",34993,21155,7724,3298,2025,791
6,"Sendling ",23721,14247,5492,2135,1313,534
7,"Sendling - Westpark  ",30785,17077,7713,3068,2070,857
8,"Schwanthalerhöhe",17183,10300,3764,1579,1056,484
9,"Neuhausen - Nymphenburg ",53869,31173,12717,5252,3364,1363
10,"Moosach",27012,13691,7135,3079,2217,890
11,"Milbertshofen - Am Hart ",36897,19498,8967,4049,2785,1598
12,"Schwabing - Freimann",36575,20914,8496,3655,2436,1074
13,"Bogenhausen ",44243,22843,11698,5057,3362,1283
14,"Berg am Laim",23556,12760,5956,2423,1692,725
15,"Trudering - Riem",30516,12218,8489,4306,3800,1703
16,"Ramersdorf - Perlach ",54724,25997,15060,6595,4764,2308
17,"Obergiesing - Fasangarten",28831,16626,6847,2772,1850,736
18,"Untergiesing - Harlaching ",30067,17706,7075,2785,1842,659
19,"Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln ",47850,24745,13090,5141,3528,1346
20,"Hadern",23936,11213,6836,2819,2178,890
21,"Pasing - Obermenzing",35959,17333,9753,4244,3342,1287
22,"Aubing - Lochhausen - Langwied",20024,8209,6012,2796,2091,916
23,"Allach - Untermenzing",14395,5828,4321,2029,1616,601
24,"Feldmoching - Hasenbergl",27780,12097,7746,3645,2954,1338
25,"Laim",31998,18848,7884,2722,1844,700,"nicht zuzuordnen",1,1,,,,
